Subject AB101128, Day 2, 29-Nov-2010 16:32:37
block	 trial	 cueEmo	 validity	 targLoc	 tilt	 contrast	 cueLoc	 cueID	 postCueLoc	 resp	 correct	 RT

 Start Time = 29-Nov-2010 17:01:23
5,     504,     Neut,      Distr,      targNE,     R,      0.02148,     cueDI,      1,           pcNE,           R,     1,     0.3419
5,     505,     Neut,      Valid,      targSE,     L,      0.068824,     cueSE,      8,           pcSE,           R,     0,     0.5660
5,     506,     Neut,      Distr,      targNW,     R,      0.39473,     cueDI,      3,           pcNW,           R,     1,     0.5982
5,     507,     Fear,      Valid,      targNW,     L,      0.012,     cueNW,      10,           pcNW,           L,     1,     0.3182
5,     508,     Fear,      Inval,      targSE,     L,      0.39473,     cueNW,      7,           pcSE,           L,     1,     0.3976
5,     509,     Fear,      Inval,      targNE,     R,      0.39473,     cueNW,      10,           pcNE,           R,     1,     0.5572
5,     510,     Fear,      Distr,      targSE,     L,      0.038449,     cueDI,      7,           pcSE,           R,     0,     0.6764
5,     511,     Fear,      Inval,      targNW,     L,      0.012,     cueSW,      10,           pcNW,           L,     1,     0.3570
5,     512,     Neut,      Inval,      targNE,     L,      0.012,     cueSW,      1,           pcNE,           R,     0,     0.3964
5,     513,     Neut,      Valid,      targNW,     R,      0.012,     cueNW,      7,           pcNW,           L,     0,     0.2707
5,     514,     Fear,      Distr,      targNE,     L,      0.22052,     cueDI,      1,           pcNE,           L,     1,     0.4444
5,     515,     Fear,      Inval,      targSE,     L,      0.39473,     cueNW,      1,           pcSE,           L,     1,     0.3019
5,     516,     Neut,      Distr,      targSW,     R,      0.02148,     cueDI,      4,           pcSW,           R,     1,     0.3187
5,     517,     Fear,      Valid,      targNE,     L,      0.02148,     cueNE,      8,           pcNE,           L,     1,     0.4465
5,     518,     Neut,      Valid,      targNE,     L,      0.038449,     cueNE,      2,           pcNE,           R,     0,     0.3415
5,     519,     Fear,      Distr,      targSE,     L,      0.038449,     cueDI,      11,           pcSE,           L,     1,     0.3818
5,     520,     Neut,      Valid,      targSE,     R,      0.038449,     cueSE,      6,           pcSE,           L,     0,     0.3340
5,     521,     Fear,      Valid,      targSW,     R,      0.1232,     cueSW,      9,           pcSW,           R,     1,     0.4289
5,     522,     Neut,      Distr,      targNE,     R,      0.22052,     cueDI,      1,           pcNE,           R,     1,     0.5099
5,     523,     Neut,      Inval,      targNE,     L,      0.1232,     cueNW,      11,           pcNE,           L,     1,     0.5647
5,     524,     Neut,      Distr,      targNE,     L,      0.068824,     cueDI,      11,           pcNE,           L,     1,     0.5022
5,     525,     Neut,      Inval,      targSE,     R,      0.22052,     cueNE,      9,           pcSE,           R,     1,     0.6850
5,     526,     Fear,      Inval,      targNW,     R,      0.038449,     cueSE,      4,           pcNW,           R,     1,     0.5409
5,     527,     Neut,      Inval,      targSW,     L,      0.1232,     cueNE,      7,           pcSW,           L,     1,     0.3975
5,     528,     Fear,      Valid,      targSE,     R,      0.39473,     cueSE,      3,           pcSE,           R,     1,     0.4297
5,     529,     Neut,      Distr,      targNW,     R,      0.1232,     cueDI,      2,           pcNW,           R,     1,     0.4710
5,     530,     Fear,      Distr,      targSE,     R,      0.068824,     cueDI,      3,           pcSE,           R,     1,     0.4304
5,     531,     Fear,      Distr,      targSE,     L,      0.22052,     cueDI,      11,           pcSE,           L,     1,     0.3588
5,     532,     Neut,      Inval,      targSW,     L,      0.22052,     cueNE,      2,           pcSW,           L,     1,     0.4543
5,     533,     Neut,      Inval,      targSW,     L,      0.068824,     cueSE,      1,           pcSW,           R,     0,     0.8136
5,     534,     Neut,      Distr,      targNW,     R,      0.012,     cueDI,      4,           pcNW,           L,     0,     0.3178
5,     535,     Neut,      Inval,      targNE,     L,      0.02148,     cueSE,      9,           pcNE,           R,     0,     0.4226
5,     536,     Fear,      Valid,      targSE,     L,      0.038449,     cueSE,      7,           pcSE,           L,     1,     0.3420
5,     537,     Neut,      Distr,      targSW,     R,      0.1232,     cueDI,      2,           pcSW,           R,     1,     0.3993
5,     538,     Fear,      Valid,      targSW,     L,      0.068824,     cueSW,      8,           pcSW,           L,     1,     0.6938
5,     539,     Neut,      Distr,      targSE,     L,      0.1232,     cueDI,      6,           pcSE,           R,     0,     0.5431
5,     540,     Fear,      Valid,      targSW,     R,      0.038449,     cueSW,      10,           pcSW,           L,     0,     0.3574
5,     541,     Fear,      Valid,      targNE,     L,      0.22052,     cueNE,      6,           pcNE,           L,     1,     0.4615
5,     542,     Neut,      Distr,      targNE,     L,      0.1232,     cueDI,      3,           pcNE,           L,     1,     0.3760
5,     543,     Neut,      Distr,      targSW,     L,      0.02148,     cueDI,      1,           pcSW,           R,     0,     0.3740
5,     544,     Fear,      Valid,      targSW,     L,      0.02148,     cueSW,      10,           pcSW,           R,     0,     0.4145
5,     545,     Fear,      Valid,      targNW,     L,      0.068824,     cueNW,      2,           pcNW,           L,     1,     0.4700
5,     546,     Fear,      Inval,      targNW,     L,      0.068824,     cueNE,      4,           pcNW,           L,     1,     0.5021
5,     547,     Neut,      Distr,      targNW,     R,      0.39473,     cueDI,      9,           pcNW,           R,     1,     0.4959
5,     548,     Neut,      Distr,      targNW,     R,      0.02148,     cueDI,      8,           pcNW,           L,     0,     0.3821
5,     549,     Neut,      Inval,      targSE,     R,      0.02148,     cueNW,      4,           pcSE,           R,     1,     0.3584
5,     550,     Neut,      Distr,      targNW,     L,      0.22052,     cueDI,      2,           pcNW,           L,     1,     0.4464
5,     551,     Neut,      Inval,      targNE,     R,      0.038449,     cueNW,      11,           pcNE,           W,     0,     0.3903
5,     552,     Fear,      Valid,      targSW,     L,      0.012,     cueSW,      4,           pcSW,           R,     0,     0.3277
5,     553,     Neut,      Distr,      targNE,     L,      0.39473,     cueDI,      5,           pcNE,           L,     1,     0.4803
5,     554,     Fear,      Valid,      targNW,     L,      0.012,     cueNW,      5,           pcNW,           R,     0,     0.3995
5,     555,     Fear,      Inval,      targSW,     L,      0.038449,     cueNE,      7,           pcSW,           R,     0,     0.5743
5,     556,     Neut,      Inval,      targNW,     L,      0.068824,     cueSE,      2,           pcNW,           R,     0,     0.7036
5,     557,     Fear,      Valid,      targNW,     L,      0.02148,     cueNW,      11,           pcNW,           L,     1,     0.3278
5,     558,     Neut,      Valid,      targNE,     L,      0.038449,     cueNE,      1,           pcNE,           R,     0,     0.3351
5,     559,     Fear,      Inval,      targSW,     R,      0.012,     cueNE,      8,           pcSW,           L,     0,     0.4386
5,     560,     Neut,      Valid,      targSW,     R,      0.22052,     cueSW,      7,           pcSW,           R,     1,     0.4886

Block 6, Start Time = 29-Nov-2010 17:08:09
6,     561,     Neut,      Valid,      targNE,     R,      0.02148,     cueNE,      2,           pcNE,           L,     0,     0.5528
6,     562,     Fear,      Inval,      targNE,     L,      0.22052,     cueSW,      6,           pcNE,           L,     1,     0.4626
6,     563,     Neut,      Distr,      targSW,     R,      0.068824,     cueDI,      4,           pcSW,           R,     1,     0.5766
6,     564,     Neut,      Distr,      targSW,     L,      0.068824,     cueDI,      11,           pcSW,           L,     1,     0.4149
6,     565,     Fear,      Distr,      targSW,     L,      0.39473,     cueDI,      3,           pcSW,           L,     1,     0.3684
6,     566,     Neut,      Distr,      targSE,     R,      0.39473,     cueDI,      4,           pcSE,           L,     0,     1.0971
6,     567,     Neut,      Inval,      targNW,     L,      0.02148,     cueSE,      1,           pcNW,           L,     1,     0.3269
6,     568,     Neut,      Distr,      targSW,     R,      0.22052,     cueDI,      7,           pcSW,           R,     1,     1.2007
6,     569,     Fear,      Distr,      targNE,     L,      0.038449,     cueDI,      1,           pcNE,           L,     1,     1.3509
6,     570,     Fear,      Valid,      targSW,     L,      0.012,     cueSW,      2,           pcSW,           R,     0,     0.6727
6,     571,     Neut,      Valid,      targSW,     L,      0.012,     cueSW,      8,           pcSW,           L,     1,     0.7921
6,     572,     Fear,      Distr,      targNE,     L,      0.068824,     cueDI,      7,           pcNE,           L,     1,     0.5133
6,     573,     Neut,      Distr,      targSE,     R,      0.038449,     cueDI,      2,           pcSE,           R,     1,     0.4151
6,     574,     Fear,      Valid,      targNW,     R,      0.02148,     cueNW,      11,           pcNW,           L,     0,     0.6248
6,     575,     Neut,      Valid,      targNW,     R,      0.1232,     cueNW,      5,           pcNW,           R,     1,     -0.0160
6,     576,     Neut,      Distr,      targSE,     R,      0.1232,     cueDI,      6,           pcSE,           R,     1,     0.4007
6,     577,     Fear,      Inval,      targSW,     L,      0.1232,     cueNE,      3,           pcSW,           L,     1,     0.3598
6,     578,     Fear,      Valid,      targSW,     R,      0.39473,     cueSW,      10,           pcSW,           R,     1,     0.3519
6,     579,     Fear,      Distr,      targNE,     R,      0.1232,     cueDI,      11,           pcNE,           R,     1,     0.2955
6,     580,     Neut,      Valid,      targSE,     L,      0.038449,     cueSE,      9,           pcSE,           L,     1,     0.3116
6,     581,     Fear,      Distr,      targSE,     R,      0.1232,     cueDI,      3,           pcSE,           R,     1,     0.3931
6,     582,     Fear,      Inval,      targNW,     R,      0.39473,     cueSW,      9,           pcNW,           R,     1,     0.4962
6,     583,     Neut,      Inval,      targSW,     L,      0.1232,     cueNW,      9,           pcSW,           L,     1,     0.3209
6,     584,     Fear,      Distr,      targNE,     L,      0.012,     cueDI,      6,           pcNE,           R,     0,     0.2970
6,     585,     Neut,      Inval,      targSW,     L,      0.068824,     cueNE,      1,           pcSW,           L,     1,     0.3437
6,     586,     Fear,      Inval,      targSE,     R,      0.02148,     cueNE,      4,           pcSE,           R,     1,     0.4977
6,     587,     Neut,      Inval,      targNW,     R,      0.22052,     cueNE,      11,           pcNW,           R,     1,     0.4577
6,     588,     Fear,      Valid,      targSW,     R,      0.012,     cueSW,      8,           pcSW,           R,     1,     0.3446
6,     589,     Fear,      Distr,      targSE,     R,      0.22052,     cueDI,      3,           pcSE,           R,     1,     0.3541
6,     590,     Neut,      Distr,      targSW,     R,      0.1232,     cueDI,      9,           pcSW,           R,     1,     0.3681
6,     591,     Fear,      Valid,      targSE,     R,      0.038449,     cueSE,      4,           pcSE,           R,     1,     0.5692
6,     592,     Neut,      Distr,      targSW,     L,      0.012,     cueDI,      8,           pcSW,           L,     1,     0.5044
6,     593,     Neut,      Inval,      targSW,     L,      0.39473,     cueSE,      2,           pcSW,           L,     1,     0.5051
6,     594,     Fear,      Distr,      targSE,     L,      0.068824,     cueDI,      2,           pcSE,           R,     0,     0.5690
6,     595,     Neut,      Inval,      targNW,     R,      0.068824,     cueSW,      10,           pcNW,           R,     1,     0.5293
6,     596,     Fear,      Valid,      targNE,     L,      0.038449,     cueNE,      9,           pcNE,           L,     1,     0.4256
6,     597,     Neut,      Inval,      targNW,     L,      0.038449,     cueSE,      10,           pcNW,           R,     0,     0.5285
6,     598,     Neut,      Distr,      targNW,     L,      0.038449,     cueDI,      6,           pcNW,           R,     0,     0.4251
