Subject AB101128, 28-Nov-2010 19:13:51, Gabor Tilt = 4
trial	 cue	 validity	 targLoc	 tilt	 cueLoc	 contrast	 postCueLoc	 resp	 correct	 RT

 Start Time = 28-Nov-2010 19:16:28
    61,    Dot,      Valid,        targSE,       L,      cueSE,           0.35289,           pcSE,           L,        1,   0.3192
    62,    Dot,      Inval,        targSW,       R,      cueNE,           0.033477,           pcSW,           R,        1,   0.6469
    63,    Dot,      Distr,        targNE,       L,      cueDI,           0.35289,           pcNE,           L,        1,   0.6012
    64,    Dot,      Distr,        targSE,       L,      cueDI,           0.065615,           pcSE,           L,        1,   0.4733
    65,    Dot,      Valid,        targNE,       R,      cueNE,           0.18005,           pcNE,           R,        1,   0.5362
    66,    Dot,      Inval,        targNE,       L,      cueSW,           0.046868,           pcNE,           R,        0,   0.6329
    67,    Dot,      Distr,        targNW,       R,      cueDI,           0.96833,           pcNW,           L,        0,   0.4630
    68,    Dot,      Valid,        targNE,       R,      cueNE,           0.1286,           pcNE,           L,        0,   0.4955
    69,    Dot,      Distr,        targSW,       L,      cueDI,           0.0122,           pcSW,           R,        0,   0.5373
    70,    Dot,      Distr,        targSW,       L,      cueDI,           0.046868,           pcSW,           L,        1,   0.5118
    71,    Dot,      Distr,        targNW,       R,      cueDI,           0.25206,           pcNW,           R,        1,   0.5371
    72,    Dot,      Valid,        targNW,       R,      cueNW,           0.96833,           pcNW,           R,        1,   0.4637
    73,    Dot,      Valid,        targSE,       R,      cueSE,           0.0122,           pcSE,           L,        0,   0.3534
    74,    Dot,      Distr,        targNW,       L,      cueDI,           0.1286,           pcNW,           L,        1,   0.4656
    75,    Dot,      Inval,        targNW,       L,      cueSW,           0.065615,           pcNW,           R,        0,   0.8728
    76,    Dot,      Valid,        targSW,       R,      cueSW,           0.35289,           pcSW,           R,        1,   0.6654
    77,    Dot,      Distr,        targNW,       L,      cueDI,           0.35289,           pcNW,           L,        1,   0.4314
    78,    Dot,      Distr,        targSW,       R,      cueDI,           0.09186,           pcSW,           R,        1,   0.5449
    79,    Dot,      Distr,        targNW,       L,      cueDI,           0.49405,           pcNW,           L,        1,   0.5038
    80,    Dot,      Distr,        targNE,       L,      cueDI,           0.0122,           pcNE,           R,        0,   0.4252
    81,    Dot,      Distr,        targNW,       R,      cueDI,           0.18005,           pcNW,           R,        1,   0.5770
    82,    Dot,      Valid,        targNW,       R,      cueNW,           0.0122,           pcNW,           L,        0,   0.3919
    83,    Dot,      Valid,        targNE,       L,      cueNE,           0.01708,           pcNE,           R,        0,   0.3839
    84,    Dot,      Inval,        targNW,       L,      cueSE,           0.69167,           pcNW,           L,        1,   0.5205
    85,    Dot,      Inval,        targNE,       L,      cueNW,           0.033477,           pcNE,           R,        0,   0.5277
    86,    Dot,      Distr,        targSE,       R,      cueDI,           0.065615,           pcSE,           R,        1,   0.4799
    87,    Dot,      Inval,        targNE,       R,      cueSW,           0.046868,           pcNE,           L,        0,   0.5045
    88,    Dot,      Valid,        targSW,       L,      cueSW,           0.1286,           pcSW,           L,        1,   0.3453
    89,    Dot,      Inval,        targNE,       L,      cueSW,           0.49405,           pcNE,           L,        1,   0.5280
    90,    Dot,      Distr,        targSW,       L,      cueDI,           0.18005,           pcSW,           L,        1,   0.4246
    91,    Dot,      Valid,        targSW,       L,      cueSW,           0.35289,           pcSW,           L,        1,   0.2884
    92,    Dot,      Inval,        targNW,       L,      cueNE,           0.023912,           pcNW,           L,        1,   0.5694
    93,    Dot,      Distr,        targNE,       L,      cueDI,           0.18005,           pcNE,           L,        1,   0.4801
    94,    Dot,      Inval,        targSW,       R,      cueNE,           0.0122,           pcSW,           L,        0,   0.4418
    95,    Dot,      Valid,        targNW,       R,      cueNW,           0.09186,           pcNW,           R,        1,   0.6096
    96,    Dot,      Inval,        targNW,       R,      cueSW,           0.033477,           pcNW,           R,        1,   0.7540
    97,    Dot,      Inval,        targNW,       R,      cueSE,           0.18005,           pcNW,           R,        1,   0.5615
    98,    Dot,      Distr,        targNE,       R,      cueDI,           0.35289,           pcNE,           R,        1,   0.5938
    99,    Dot,      Distr,        targSW,       R,      cueDI,           0.25206,           pcSW,           R,        1,   0.5620
    100,    Dot,      Valid,        targSW,       R,      cueSW,           0.01708,           pcSW,           L,        0,   0.4186
    101,    Dot,      Valid,        targSE,       L,      cueSE,           0.046868,           pcSE,           L,        1,   0.3793
    102,    Dot,      Valid,        targSW,       R,      cueSW,           0.023912,           pcSW,           L,        0,   0.4423
    103,    Dot,      Valid,        targSW,       L,      cueSW,           0.18005,           pcSW,           L,        1,   0.4412
    104,    Dot,      Distr,        targSW,       R,      cueDI,           0.18005,           pcSW,           R,        1,   0.5063
    105,    Dot,      Inval,        targSE,       L,      cueNW,           0.49405,           pcSE,           L,        1,   0.3932
    106,    Dot,      Valid,        targNE,       R,      cueNE,           0.09186,           pcNE,           R,        1,   0.6649
    107,    Dot,      Inval,        targNW,       L,      cueSE,           0.09186,           pcNW,           R,        0,   0.5223
    108,    Dot,      Distr,        targNW,       R,      cueDI,           0.1286,           pcNW,           R,        1,   0.5931
    109,    Dot,      Valid,        targSE,       L,      cueSE,           0.1286,           pcSE,           L,        1,   0.3377
    110,    Dot,      Valid,        targNE,       R,      cueNE,           0.96833,           pcNE,           R,        1,   0.4110
    111,    Dot,      Distr,        targNW,       L,      cueDI,           0.69167,           pcNW,           L,        1,   0.4105
    112,    Dot,      Inval,        targSW,       R,      cueSE,           0.023912,           pcSW,           L,        0,   0.6027

Block 2 Start Time = 28-Nov-2010 19:22:48
    113,    Dot,      Inval,        targNW,       R,      cueSE,           0.09186,           pcNW,           R,        1,   0.5321
    114,    Dot,      Inval,        targSW,       R,      cueNW,           0.18005,           pcSW,           L,        0,   0.4281
    115,    Dot,      Inval,        targSW,       R,      cueNW,           0.69167,           pcSW,           R,        1,   0.5545
    116,    Dot,      Valid,        targNW,       R,      cueNW,           0.69167,           pcNW,           R,        1,   0.4602
    117,    Dot,      Valid,        targNW,       L,      cueNW,           0.1286,           pcNW,           R,        0,   0.5153
    118,    Dot,      Inval,        targNE,       L,      cueSE,           0.18005,           pcNE,           L,        1,   0.5882
    119,    Dot,      Valid,        targSE,       R,      cueSE,           0.01708,           pcSE,           R,        1,   0.6585
    120,    Dot,      Distr,        targSW,       R,      cueDI,           0.49405,           pcSW,           R,        1,   0.3880
    121,    Dot,      Valid,        targSW,       L,      cueSW,           0.69167,           pcSW,           L,        1,   0.2428
    122,    Dot,      Distr,        targNW,       L,      cueDI,           0.046868,           pcNW,           L,        1,   0.4444
    123,    Dot,      Inval,        targNE,       L,      cueNW,           0.01708,           pcNE,           R,        0,   0.3480
    124,    Dot,      Valid,        targNE,       R,      cueNE,           0.01708,           pcNE,           L,        0,   0.3872
    125,    Dot,      Valid,        targNW,       L,      cueNW,           0.033477,           pcNW,           L,        1,   0.3551
    126,    Dot,      Valid,        targNE,       L,      cueNE,           0.25206,           pcNE,           L,        1,   0.3568
    127,    Dot,      Distr,        targSW,       R,      cueDI,           0.0122,           pcSW,           L,        0,   0.2683
    128,    Dot,      Inval,        targNE,       L,      cueSW,           0.25206,           pcNE,           L,        1,   0.4772
    129,    Dot,      Valid,        targSE,       L,      cueSE,           0.0122,           pcSE,           L,        1,   0.4043
    130,    Dot,      Distr,        targSW,       R,      cueDI,           0.033477,           pcSW,           L,        0,   0.6589
